Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Léon FLAMENG,1896 Athens,Cycling Track,Men's,10km,Images/Medal_Silver.png,FRA,Silver
NaN,Henri CALLOT,1896 Athens,Fencing,Men's,foil individual,Images/Medal_Silver.png,FRA,Silver
NaN,Maurice PERRONNET,1896 Athens,Fencing,Men's,"foil, masters",Images/Medal_Silver.png,FRA,Silver
NaN,Albin LERMUSIAUX,1896 Athens,Athletics,Men's,1500m,Images/Medal_Bronze.png,FRA,Bronze
NaN,Léon FLAMENG,1896 Athens,Cycling Track,Men's,sprint individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Eugène MOUGIN,1900 Paris,Archery,Men's,"au chapelet, 50m",Images/Medal_Gold.png,FRA,Gold
NaN,Henri HEROUIN,1900 Paris,Archery,Men's,"au cordon doré, 50m",Images/Medal_Gold.png,FRA,Gold
NaN,Emile GRUMIAUX,1900 Paris,Archery,Men's,sur la perche à la pyramide,Images/Medal_Gold.png,FRA,Gold
NaN,Henri Herouin,1900 Paris,Archery,Men's,Championnat Du Monde,Images/Medal_Gold.png,FRA,Gold
NaN,Georges TAILLANDIER,1900 Paris,Cycling Track,Men's,sprint individual,Images/Medal_Gold.png,FRA,Gold
NaN,Louis BASTIEN,1900 Paris,Cycling Track,Men's,25 kilometres,Images/Medal_Gold.png,FRA,Gold
NaN,Dominique Maximien GARDERESCANELA,1900 Paris,Equestrian Jumping,Mixed,high jump individual,Images/Medal_Gold.png,FRA,Gold
NaN,Louis Napoléon Murat,1900 Paris,Equestrian Jumping,Mixed,Hacks and Hunter Combined,Images/Medal_Gold.png,FRA,Gold
NaN,Albert AYAT,1900 Paris,Fencing,Men's,"épée, amateurs and masters",Images/Medal_Gold.png,FRA,Gold
NaN,Albert AYAT,1900 Paris,Fencing,Men's,"épée, masters",Images/Medal_Gold.png,FRA,Gold
NaN,Emile COSTE,1900 Paris,Fencing,Men's,foil individual,Images/Medal_Gold.png,FRA,Gold
NaN,Lucien MERIGNAC,1900 Paris,Fencing,Men's,"foil, masters",Images/Medal_Gold.png,FRA,Gold
NaN,Georges DE LA FALAISE,1900 Paris,Fencing,Men's,sabre individual,Images/Medal_Gold.png,FRA,Gold
NaN,Gustave SANDRAS,1900 Paris,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Gold.png,FRA,Gold
NaN,Henri BARRELET,1900 Paris,Rowing,Men's,single sculls (1x),Images/Medal_Gold.png,FRA,Gold
NaN,Henri HAZEBROUCKEmile DELCHAMBREHenri BOUCKAERTCHARLOTJean CAU,1900 Paris,Rowing,Men's,four-oared shell with coxswain,Images/Medal_Gold.png,FRA,Gold
NaN,Pierre Gervais,1900 Paris,Sailing,Mixed,0.5t,Images/Medal_Gold.png,FRA,Gold
NaN,Émile Sacré,1900 Paris,Sailing,Mixed,0.5t,Images/Medal_Gold.png,FRA,Gold
NaN,Louis Auguste-Dormeuil,1900 Paris,Sailing,Mixed,0.5-1t,Images/Medal_Gold.png,FRA,Gold
NaN,Henri Gilardoni,1900 Paris,Sailing,Mixed,3-10t,Images/Medal_Gold.png,FRA,Gold
NaN,Emile BILLARDPaul PERQUER,1900 Paris,Sailing,Mixed,10-20t,Images/Medal_Gold.png,FRA,Gold
NaN,Achille PAROCHE,1900 Paris,Shooting,Men's,"army rifle, 300m, prone",Images/Medal_Gold.png,FRA,Gold
NaN,Roger DE BARBARIN,1900 Paris,Shooting,Men's,Trap,Images/Medal_Gold.png,FRA,Gold
NaN,Charles DE VENDEVILLE,1900 Paris,Swimming,Men's,underwater swimming,Images/Medal_Gold.png,FRA,Gold
NaN,AUMOITTE,1900 Paris,Croquet,Mixed,individual 1 ball,Images/Medal_Gold.png,FRA,Gold
NaN,WAYDELICH,1900 Paris,Croquet,Mixed,individual 2 balls,Images/Medal_Gold.png,FRA,Gold
NaN,AUMOITTEJOHIN,1900 Paris,Croquet,Mixed,double,Images/Medal_Gold.png,FRA,Gold
NaN,Victor THIBAUD,1900 Paris,Archery,Men's,"au chapelet, 33m",Images/Medal_Silver.png,FRA,Silver
NaN,Henri HELLE,1900 Paris,Archery,Men's,"au chapelet, 50m",Images/Medal_Silver.png,FRA,Silver
NaN,Victor THIBAUD,1900 Paris,Archery,Men's,"au cordon doré, 33m",Images/Medal_Silver.png,FRA,Silver
NaN,Auguste SERRURIER,1900 Paris,Archery,Men's,sur la perche à la herse,Images/Medal_Silver.png,FRA,Silver
NaN,Auguste SERRURIER,1900 Paris,Archery,Men's,sur la perche à la pyramide,Images/Medal_Silver.png,FRA,Silver
NaN,Henri DELOGE,1900 Paris,Athletics,Men's,1500m,Images/Medal_Silver.png,FRA,Silver
NaN,Emile CHAMPION,1900 Paris,Athletics,Men's,marathon,Images/Medal_Silver.png,FRA,Silver
NaN,Henri TAUZIN,1900 Paris,Athletics,Men's,400m hurdles,Images/Medal_Silver.png,FRA,Silver
NaN,Gaston RAGUENEAUAndré CASTANETHenri DELOGEJacques CHASTANIEMichel CHAMPOUDRY,1900 Paris,Athletics,Men's,5000m team,Images/Medal_Silver.png,FRA,Silver
NaN,Fernand SANZ,1900 Paris,Cycling Track,Men's,sprint individual,Images/Medal_Silver.png,FRA,Silver
NaN,Victor Archenoul,1900 Paris,Equestrian Jumping,Mixed,Hacks and Hunter Combined,Images/Medal_Silver.png,FRA,Silver
NaN,Léon Thome,1900 Paris,Equestrian Jumping,Mixed,Four-in-Hand Mail Coach,Images/Medal_Silver.png,FRA,Silver
NaN,Louis PERREE,1900 Paris,Fencing,Men's,épée individual,Images/Medal_Silver.png,FRA,Silver
NaN,Emile BOUGNOL,1900 Paris,Fencing,Men's,"épée, masters",Images/Medal_Silver.png,FRA,Silver
NaN,Henri MASSON,1900 Paris,Fencing,Men's,foil individual,Images/Medal_Silver.png,FRA,Silver
NaN,Alphonse KIRCHHOFFER,1900 Paris,Fencing,Men's,"foil, masters",Images/Medal_Silver.png,FRA,Silver
NaN,Léon THIEBAUT,1900 Paris,Fencing,Men's,sabre individual,Images/Medal_Silver.png,FRA,Silver
NaN,Pierre ALLEMANELAMBERTHUTEAUJean BLOCHFRAYSSEFernand CANELLEPELTIERGAILLARDGRANDJEANBACHMACAIRERené GARNIERDUPARC,1900 Paris,Football,Men's,football,Images/Medal_Silver.png,FRA,Silver
NaN,Noël BAS,1900 Paris,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Silver.png,FRA,Silver
NaN,André GAUDIN,1900 Paris,Rowing,Men's,single sculls (1x),Images/Medal_Silver.png,FRA,Silver
NaN,Louis MARTINETUNKNOWN COXWALEFF,1900 Paris,Rowing,Men's,pair-oared shell with coxswain,Images/Medal_Silver.png,FRA,Silver
NaN,Charles PERRINEmile WEGELINGeorges LUMPPDaniel SOUBEYRAN,1900 Paris,Rowing,Men's,four-oared shell with coxswain,Images/Medal_Silver.png,FRA,Silver
NaN,Texier (crew)Robert LinzelerTexier (helmsman)Jean-Baptiste Charcot,1900 Paris,Sailing,Mixed,0.5t,Images/Medal_Silver.png,FRA,Silver
NaN,Texier (crew)Robert LinzelerTexier (helmsman)Jean-Baptiste Charcot,1900 Paris,Sailing,Mixed,0.5t,Images/Medal_Silver.png,FRA,Silver
NaN,Jean LEBRETWilliam MARTINJacques BAUDRIERFélix MARCOTTEJules VALTON,1900 Paris,Sailing,Mixed,0.5-1t,Images/Medal_Silver.png,FRA,Silver
NaN,Marcel MeranÉmile MICHELET,1900 Paris,Sailing,Mixed,0.5-1t,Images/Medal_Silver.png,FRA,Silver
NaN,François VilamitjanaAlbert DuvalAuguste AlbertCharles Hugo,1900 Paris,Sailing,Mixed,1-2t,Images/Medal_Silver.png,FRA,Silver
NaN,Jacques DoucetHenri MialaretLéon SusseAuguste Godinet,1900 Paris,Sailing,Mixed,2-3t,Images/Medal_Silver.png,FRA,Silver
NaN,Léon SusseAuguste GodinetJacques DoucetHenri Mialaret,1900 Paris,Sailing,Mixed,2-3t,Images/Medal_Silver.png,FRA,Silver
NaN,A. DuboisRobert GuffletMaurice GUFFLETJ. DuboisCharles Guiraist,1900 Paris,Sailing,Mixed,3-10t,Images/Medal_Silver.png,FRA,Silver
NaN,Jean LE DUC DECAZES,1900 Paris,Sailing,Mixed,10-20t,Images/Medal_Silver.png,FRA,Silver
NaN,Achille PAROCHE,1900 Paris,Shooting,Men's,50m pistol,Images/Medal_Silver.png,FRA,Silver
NaN,Léon MOREAUXAchille PAROCHEMaurice LECOQTRINITELouis DUFFOY,1900 Paris,Shooting,Men's,"50m army pistol, team",Images/Medal_Silver.png,FRA,Silver
NaN,BERTRANDVERBECKEVictor HOCHEPIEDMaurice HOCHEPIEDCADET,1900 Paris,Swimming,Men's,200m team swimming,Images/Medal_Silver.png,FRA,Silver
NaN,André SIX,1900 Paris,Swimming,Men's,underwater swimming,Images/Medal_Silver.png,FRA,Silver
NaN,Hélène PREVOST,1900 Paris,Tennis,Women's,singles,Images/Medal_Silver.png,FRA,Silver
NaN,JOHIN,1900 Paris,Croquet,Mixed,individual 1 ball,Images/Medal_Silver.png,FRA,Silver
NaN,VIGNEROT,1900 Paris,Croquet,Mixed,individual 2 balls,Images/Medal_Silver.png,FRA,Silver
NaN,Charles Frédéric PETIT,1900 Paris,Archery,Men's,"au chapelet, 33m",Images/Medal_Bronze.png,FRA,Bronze
NaN,Emile MERCIER,1900 Paris,Archery,Men's,"au chapelet, 50m",Images/Medal_Bronze.png,FRA,Bronze
NaN,Charles Frédéric PETIT,1900 Paris,Archery,Men's,"au cordon doré, 33m",Images/Medal_Bronze.png,FRA,Bronze
NaN,Emile FISSEUX,1900 Paris,Archery,Men's,"au cordon doré, 50m",Images/Medal_Bronze.png,FRA,Bronze
NaN,Jacques CHASTANIE,1900 Paris,Athletics,Men's,2500m steeplechase,Images/Medal_Bronze.png,FRA,Bronze
NaN,Emile TORCHEBOEUF,1900 Paris,Athletics,Men's,"long jump, standing",Images/Medal_Bronze.png,FRA,Bronze
NaN,DAUMAIN,1900 Paris,Cycling Track,Men's,25 kilometres,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis Trousselier,1900 Paris,Cycling Track,Men's,points race,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis DE CHAMPSAVINTERPSICHORE,1900 Paris,Equestrian Jumping,Mixed,individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,TOLLAJacques de Prunelé,1900 Paris,Equestrian Jumping,Mixed,long jump individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Robert de Montesquiou-Fézensac,1900 Paris,Equestrian Jumping,Mixed,Hacks and Hunter Combined,Images/Medal_Bronze.png,FRA,Bronze
NaN,Jean de Neuflize,1900 Paris,Equestrian Jumping,Mixed,Four-in-Hand Mail Coach,Images/Medal_Bronze.png,FRA,Bronze
NaN,Léon SEE,1900 Paris,Fencing,Men's,épée individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Léon SEE,1900 Paris,Fencing,Men's,"épée, amateurs and masters",Images/Medal_Bronze.png,FRA,Bronze
NaN,Henri LAURENT,1900 Paris,Fencing,Men's,"épée, masters",Images/Medal_Bronze.png,FRA,Bronze
NaN,Marcel Jacques BOULENGER,1900 Paris,Fencing,Men's,foil individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Jean-Baptiste MIMIAGUE,1900 Paris,Fencing,Men's,"foil, masters",Images/Medal_Bronze.png,FRA,Bronze
NaN,Lucien DEMANET,1900 Paris,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Bronze.png,FRA,Bronze
NaN,Antoine Erneste VEDRENNECarlos DELTOURRaoul PAOLI,1900 Paris,Rowing,Men's,pair-oared shell with coxswain,Images/Medal_Bronze.png,FRA,Bronze
NaN,Léon TellierHenri MonnotGaston Cailleux,1900 Paris,Sailing,Mixed,0.5t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Pierre Gervais,1900 Paris,Sailing,Mixed,0.5t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Émile MICHELETMarcel Meran,1900 Paris,Sailing,Mixed,0.5-1t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Jean LEBRETWilliam MARTINJacques BAUDRIERFélix MARCOTTEJules VALTON,1900 Paris,Sailing,Mixed,0.5-1t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Jacques BaudrierDubosqLucien BaudrierÉdouard Mantois,1900 Paris,Sailing,Mixed,1-2t,Images/Medal_Bronze.png,FRA,Bronze
NaN,François VilamitjanaAlbert DuvalAuguste AlbertCharles Hugo,1900 Paris,Sailing,Mixed,1-2t,Images/Medal_Bronze.png,FRA,Bronze
NaN,de CottignonÉmile Jean-FontaineFerdinand Schlatter,1900 Paris,Sailing,Mixed,2-3t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Auguste Donny,1900 Paris,Sailing,Mixed,2-3t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Maurice GUFFLETJ. DuboisCharles GuiraistA. DuboisRobert Gufflet,1900 Paris,Sailing,Mixed,3-10t,Images/Medal_Bronze.png,FRA,Bronze
NaN,Émile MICHELETF. MICHELET,1900 Paris,Sailing,Mixed,open class,Images/Medal_Bronze.png,FRA,Bronze
NaN,Achille PAROCHELéon MOREAUXRené THOMASAuguste CAVADINIMaurice LECOQ,1900 Paris,Shooting,Men's,"free rifle, team",Images/Medal_Bronze.png,FRA,Bronze
NaN,Justinien DE CLARY,1900 Paris,Shooting,Men's,Trap,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis MARTIN,1900 Paris,Swimming,Men's,4000m freestyle,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis MARTINTARTARAJean LEUILLIEUXHOUBENDésiré MERCHEZ,1900 Paris,Swimming,Men's,200m team swimming,Images/Medal_Bronze.png,FRA,Bronze
NaN,Georges DE LA CHAPELLEAndré PREVOST,1900 Paris,Tennis,Men's,doubles,Images/Medal_Bronze.png,FRA,Bronze
NaN,FARDELLELERICHEDésiré MERCHEZAuguste CamelinPierre GelléEugène CoulonFAVIERLouis MARTINCharles TREFFELAntoine FioletLouis Marc,1900 Paris,Water Polo,Men's,water polo,Images/Medal_Bronze.png,FRA,Bronze
NaN,WAYDELICH,1900 Paris,Croquet,Mixed,individual 1 ball,Images/Medal_Bronze.png,FRA,Bronze
NaN,SAUTREAU,1900 Paris,Croquet,Mixed,individual 2 balls,Images/Medal_Bronze.png,FRA,Bronze
NaN,Albert CORAY,1904 St Louis,Athletics,Men's,marathon,Images/Medal_Silver.png,FRA,Silver
NaN,Eugène G. GRIZOT,1908 London,Archery,Men's,continental style 50m,Images/Medal_Gold.png,FRA,Gold
NaN,André AUFFRAYMaurice SCHILLES,1908 London,Cycling Track,Men's,2000m tandem,Images/Medal_Gold.png,FRA,Gold
NaN,Gaston ALIBERT,1908 London,Fencing,Men's,épée individual,Images/Medal_Gold.png,FRA,Gold
NaN,Henri-Georges BERGEREugène Victor OLIVIERGaston ALIBERTCharles COLLIGNON,1908 London,Fencing,Men's,épée team,Images/Medal_Gold.png,FRA,Gold
NaN,?Emile THUBRON,1908 London,Water Motorsports,Men's,open class A,Images/Medal_Gold.png,FRA,Gold
NaN,Louis VERNET,1908 London,Archery,Men's,continental style 50m,Images/Medal_Silver.png,FRA,Silver
NaN,Georges ANDRE,1908 London,Athletics,Men's,high jump,Images/Medal_Silver.png,FRA,Silver
NaN,Emile DEMANGEL,1908 London,Cycling Track,Men's,One lap (660y) sprint,Images/Medal_Silver.png,FRA,Silver
NaN,Maurice SCHILLES,1908 London,Cycling Track,Men's,5000m,Images/Medal_Silver.png,FRA,Silver
NaN,Alexandre LIPPMANN,1908 London,Fencing,Men's,épée individual,Images/Medal_Silver.png,FRA,Silver
NaN,Gustave CABARET,1908 London,Archery,Men's,continental style 50m,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis N. DE FLEURACPaul LIJANDIERJoseph DREHER,1908 London,Athletics,Men's,3miles team (4828m),Images/Medal_Bronze.png,FRA,Bronze
NaN,André AUFFRAY,1908 London,Cycling Track,Men's,5000m,Images/Medal_Bronze.png,FRA,Bronze
NaN,Octave LAPIZE,1908 London,Cycling Track,Men's,100km,Images/Medal_Bronze.png,FRA,Bronze
NaN,Eugène Victor OLIVIER,1908 London,Fencing,Men's,épée individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,B. Louis SEGURA,1908 London,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis POTHEAUHenri ARTHUSPierre RABOT,1908 London,Sailing,Mixed,6m,Images/Medal_Bronze.png,FRA,Bronze
NaN,Eugène BALMEAlbert COURQUINMaurice LECOQLéon JOHNSONAndré PARMENTIERRaoul DE BOIGNE,1908 London,Shooting,Men's,"free rifle, team",Images/Medal_Bronze.png,FRA,Bronze
NaN,Paul René COLASLéon LECUYERAndré REGAUDHenri BONNEFOY,1908 London,Shooting,Men's,"50+100y small bore rifle, team",Images/Medal_Bronze.png,FRA,Bronze
NaN,J CARIOUMIGNON,1912 Stockholm,Equestrian Jumping,Mixed,individual,Images/Medal_Gold.png,FRA,Gold
NaN,Jacques THUBEGaston THUBEAmédé THUBE,1912 Stockholm,Sailing,Mixed,6m,Images/Medal_Gold.png,FRA,Gold
NaN,Paul René COLAS,1912 Stockholm,Shooting,Men's,300m free rifle 3 positions,Images/Medal_Gold.png,FRA,Gold
NaN,Paul René COLAS,1912 Stockholm,Shooting,Men's,600m free rifle,Images/Medal_Gold.png,FRA,Gold
NaN,André Henri GOBERT,1912 Stockholm,Tennis,Men's,singles indoor,Images/Medal_Gold.png,FRA,Gold
NaN,André Henri GOBERTMaurice GERMOT,1912 Stockholm,Tennis,Men's,doubles indoor,Images/Medal_Gold.png,FRA,Gold
NaN,Marguerite BROQUEDIS,1912 Stockholm,Tennis,Women's,singles,Images/Medal_Gold.png,FRA,Gold
NaN,Jean BOUIN,1912 Stockholm,Athletics,Men's,5000m,Images/Medal_Silver.png,FRA,Silver
NaN,Charles Louis LELONGCharles Alexandre Casimir POULENARDRobert SCHURRERPierre FAILLIOT,1912 Stockholm,Athletics,Men's,4x400m relay,Images/Medal_Silver.png,FRA,Silver
NaN,AMAZONEALLONS-YCOCOTTEMIGNONMichel DUFOURT D'ASTAFORTBernard MEYERAlbert SEIGNERJ CARIOU,1912 Stockholm,Equestrian Jumping,Mixed,team,Images/Medal_Silver.png,FRA,Silver
NaN,B. Louis SEGURA,1912 Stockholm,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Silver.png,FRA,Silver
NaN,COCOTTEJ CARIOU,1912 Stockholm,Equestrian Eventing,Mixed,individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Edouard Marie Marc MENY DE MARANGUEAlbert Henri CANET,1912 Stockholm,Tennis,Men's,doubles,Images/Medal_Bronze.png,FRA,Bronze
NaN,Marguerite BROQUEDISAlbert Henri CANET,1912 Stockholm,Tennis,Mixed,mixed doubles,Images/Medal_Bronze.png,FRA,Bronze
NaN,Julien Louis BRULE,1920 Antwerp,Archery,Men's,moving bird target 50m,Images/Medal_Gold.png,FRA,Gold
NaN,Joseph GUILLEMOT,1920 Antwerp,Athletics,Men's,5000m,Images/Medal_Gold.png,FRA,Gold
NaN,Paul FRITSCH,1920 Antwerp,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Gold.png,FRA,Gold
NaN,Georges DETREILLEMarcel GOBILLOTFernand CANTELOUBEAchille SOUCHARD,1920 Antwerp,Cycling Road,Men's,team time trial,Images/Medal_Gold.png,FRA,Gold
NaN,Armand MASSARD,1920 Antwerp,Fencing,Men's,épée individual,Images/Medal_Gold.png,FRA,Gold
NaN,Suzanne LENGLEN,1920 Antwerp,Tennis,Women's,singles,Images/Medal_Gold.png,FRA,Gold
NaN,Suzanne LENGLENMax DECUGIS,1920 Antwerp,Tennis,Mixed,mixed doubles,Images/Medal_Gold.png,FRA,Gold
NaN,Henri GANCE,1920 Antwerp,Weightlifting,Men's,"67.5 - 75kg, one-two hand 3 events (middleweight)",Images/Medal_Gold.png,FRA,Gold
NaN,Ernest CADINE,1920 Antwerp,Weightlifting,Men's,"75 - 82.5kg, one-two hand 3 events (light-heavyweight)",Images/Medal_Gold.png,FRA,Gold
NaN,Léonce Gaston QUENTIN,1920 Antwerp,Archery,Men's,moving bird target 28m,Images/Medal_Silver.png,FRA,Silver
NaN,Julien Louis BRULE,1920 Antwerp,Archery,Men's,moving bird target 33m,Images/Medal_Silver.png,FRA,Silver
NaN,Léonce Gaston QUENTINEugène G. GRIZOTArtur MABELLONPaul LEROYJulien Louis BRULEPascal FAUVELEugène RICHEZLéon EPIN,1920 Antwerp,Archery,Men's,moving bird target 33m teams,Images/Medal_Silver.png,FRA,Silver
NaN,Julien Louis BRULEPascal FAUVELEugène RICHEZLéon EPINLéonce Gaston QUENTINEugène G. GRIZOTArtur MABELLONPaul LEROY,1920 Antwerp,Archery,Men's,moving bird target 50m teams,Images/Medal_Silver.png,FRA,Silver
NaN,Joseph GUILLEMOT,1920 Antwerp,Athletics,Men's,10000m,Images/Medal_Silver.png,FRA,Silver
NaN,René LORAINEmile ALI KAHNRené TIRARDRené MOURLON,1920 Antwerp,Athletics,Men's,4x100m relay,Images/Medal_Silver.png,FRA,Silver
NaN,Jean GACHET,1920 Antwerp,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Silver.png,FRA,Silver
NaN,Alexandre LIPPMANN,1920 Antwerp,Fencing,Men's,épée individual,Images/Medal_Silver.png,FRA,Silver
NaN,Philippe CATTIAU,1920 Antwerp,Fencing,Men's,foil individual,Images/Medal_Silver.png,FRA,Silver
NaN,André LABATTUTMarcel PERROTPhilippe CATTIAUGaston AMSONGeorges TROMBERTLucien GAUDINRoger François DUCRETLionel BONY DE CASTELLANE,1920 Antwerp,Fencing,Men's,foil team,Images/Medal_Silver.png,FRA,Silver
NaN,Jean André LACROIXMarc Marie Jean PERRODONGeorges TROMBERTJean MARGRAFFHenri Marie Raoul DE SAINT GERMAINJean MONDIELLI,1920 Antwerp,Fencing,Men's,sabre team,Images/Medal_Silver.png,FRA,Silver
NaN,Marcos TORRES,1920 Antwerp,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Silver.png,FRA,Silver
NaN,Gabriel POIXErnest BARBEROLLEMaurice BOUTON,1920 Antwerp,Rowing,Men's,pair-oared shell with coxswain,Images/Medal_Silver.png,FRA,Silver
NaN,Jacques FORESTIEREugène SOULIEAlfred ELUEREConstant LAMAIGNIEREAndré CHILOFrançois BORDESEdouard BADERAdolphe René BOUSQUETRaymond BERRURIERMaurice LABEYRIERobert LEVASSEURRobert THIERRYGRENETRené CRABOSRaoul THIERCELINCURTET,1920 Antwerp,Rugby,Men's,rugby,Images/Medal_Silver.png,FRA,Silver
NaN,Albert WEILRobert MONIERFélix PICON,1920 Antwerp,Sailing,Mixed,6.5m (rating 1919),Images/Medal_Silver.png,FRA,Silver
NaN,Léon JOHNSON,1920 Antwerp,Shooting,Men's,"army rifle, 300m, prone",Images/Medal_Silver.png,FRA,Silver
NaN,Emile RUMEAUAndré PARMENTIERLéon JOHNSONAchille PAROCHEGeorges ROES,1920 Antwerp,Shooting,Men's,"300m free rifle, prone, team",Images/Medal_Silver.png,FRA,Silver
NaN,FIELD,1920 Antwerp,Equestrian Vaulting,Mixed,figure riding individual,Images/Medal_Silver.png,FRA,Silver
NaN,SALINSFIELDCAUCHY,1920 Antwerp,Equestrian Vaulting,Mixed,figure riding team,Images/Medal_Silver.png,FRA,Silver
NaN,Eugène RICHEZLéon EPINJulien Louis BRULEPascal FAUVELArtur MABELLONPaul LEROYLéonce Gaston QUENTINEugène G. GRIZOT,1920 Antwerp,Archery,Men's,moving bird target 28m teams,Images/Medal_Bronze.png,FRA,Bronze
NaN,Georges ANDREMaurice DELVARTGaston FERYJean André DEVAUX,1920 Antwerp,Athletics,Men's,4x400m relay,Images/Medal_Bronze.png,FRA,Bronze
NaN,Albert Xavier ELUERE,1920 Antwerp,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Bronze.png,FRA,Bronze
NaN,Fernand CANTELOUBE,1920 Antwerp,Cycling Road,Men's,individual time trial,Images/Medal_Bronze.png,FRA,Bronze
NaN,Gustave BUCHARD,1920 Antwerp,Fencing,Men's,épée individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Alexandre LIPPMANNGeorges CASANOVAGaston AMSONArmand MASSARDGustave BUCHARDGeorges TROMBERTEmile MOREAU,1920 Antwerp,Fencing,Men's,épée team,Images/Medal_Bronze.png,FRA,Bronze
NaN,Roger François DUCRET,1920 Antwerp,Fencing,Men's,foil individual,Images/Medal_Bronze.png,FRA,Bronze
NaN,Jean GOUNOT,1920 Antwerp,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Bronze.png,FRA,Bronze
NaN,Eugène POLLETEugène CORDONNIEREmile BOUCHESPaulin Alexandre LEMAIRELéon DELSARTELouis KEMPEAuguste HOELAlbert HERSOYEGeorges LAGOUGEJules PIRARDPaul WARTELLEAndré HIGELINEmile MARTELArthur HERMANNAlfred BUYENNEPaul Joseph DURINGeorges BERGERGeorges DUVANTLucien DEMANETFernand FAUCONNIERRené BOULANGERErnest LESPINASSEJulien WARTELLEGeorges THURNHERR,1920 Antwerp,Gymnastics Artistic,Men's,team competition,Images/Medal_Bronze.png,FRA,Bronze
NaN,Gaston GIRANAlfred PLE,1920 Antwerp,Rowing,Men's,double sculls (2x),Images/Medal_Bronze.png,FRA,Bronze
NaN,Pierre ALBARRANMax DECUGIS,1920 Antwerp,Tennis,Men's,doubles,Images/Medal_Bronze.png,FRA,Bronze
NaN,Suzanne LENGLENElisabeth D'AYEN,1920 Antwerp,Tennis,Women's,doubles,Images/Medal_Bronze.png,FRA,Bronze
NaN,Louis BERNOT,1920 Antwerp,Weightlifting,Men's,"+ 82.5kg, one-two hand 3 events (heavyweight)",Images/Medal_Bronze.png,FRA,Bronze
NaN,Armand BLANCHONNET,1924 Paris,Cycling Road,Men's,individual road race,Images/Medal_Gold.png,FRA,Gold
NaN,René HAMELArmand BLANCHONNETGeorges WAMBST,1924 Paris,Cycling Road,Men's,team time trial,Images/Medal_Gold.png,FRA,Gold
NaN,Lucien MICHARD,1924 Paris,Cycling Track,Men's,sprint individual,Images/Medal_Gold.png,FRA,Gold
NaN,Jean CUGNOTLucien CHOURY,1924 Paris,Cycling Track,Men's,2000m tandem,Images/Medal_Gold.png,FRA,Gold
NaN,André LABATUTGeorges TAINTURIERRoger DUCRETLucien GAUDINLionel LIOTTELGeorges BUCHARDAlexandre LIPPMANN,1924 Paris,Fencing,Men's,épée team,Images/Medal_Gold.png,FRA,Gold
NaN,Roger DUCRET,1924 Paris,Fencing,Men's,foil individual,Images/Medal_Gold.png,FRA,Gold
NaN,Joseph PEROTEAUXHenri JOBIERJacques COUTROTGuy DE LUGETPhilippe CATTIAULucien GAUDINRoger DUCRETAndré LABATUT,1924 Paris,Fencing,Men's,foil team,Images/Medal_Gold.png,FRA,Gold
NaN,Albert SÉGUIN,1924 Paris,Gymnastics Artistic,Men's,Sidehorse vault,Images/Medal_Gold.png,FRA,Gold
NaN,Pierre COQUELIN DE LISLE,1924 Paris,Shooting,Men's,50m rifle prone,Images/Medal_Gold.png,FRA,Gold
NaN,Jean LASQUINR. BERTRANDPaul DUJARDINAlbert MAYAUDHenri PADOUJ. PEROLRobert DESMETTREGeorges RIGALAlbert DEBORGIESA. FASANINoël DELBERGHE,1924 Paris,Water Polo,Men's,water polo,Images/Medal_Gold.png,FRA,Gold
NaN,Edmond DECOTTIGNIES,1924 Paris,Weightlifting,Men's,"60 - 67.5kg, one-two hand 5 events (lightweight)",Images/Medal_Gold.png,FRA,Gold
