Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Hyon Suk PAK,2008 Beijing,Weightlifting,Women's,58 - 63kg (middleweight),Images/Medal_Gold.png,PRK,Gold
NaN,Kum Ae AN,2008 Beijing,Judo,Women's,48 - 52kg (half-lightweight),Images/Medal_Silver.png,PRK,Silver
NaN,Jong Ae O,2008 Beijing,Weightlifting,Women's,53 - 58kg (lightweight),Images/Medal_Silver.png,PRK,Silver
NaN,Chol Min PAK,2008 Beijing,Judo,Men's,60 - 66kg (half-lightweight),Images/Medal_Bronze.png,PRK,Bronze
NaN,Ok Im WON,2008 Beijing,Judo,Women's,57 - 63kg (half-middleweight),Images/Medal_Bronze.png,PRK,Bronze
NaN,Kum Ae AN,2012 London,Judo,Women's,48 - 52kg (half-lightweight),Images/Medal_Gold.png,PRK,Gold
NaN,Yun Chol OM,2012 London,Weightlifting,Men's,- 56kg (bantamweight),Images/Medal_Gold.png,PRK,Gold
NaN,Un Guk KIM,2012 London,Weightlifting,Men's,56 - 62kg (featherweight),Images/Medal_Gold.png,PRK,Gold
NaN,Jong Sim RIM,2012 London,Weightlifting,Women's,63 - 69kg (light-heavyweight),Images/Medal_Gold.png,PRK,Gold
NaN,Mying Hyok Kim,2012 London,Weightlifting,Men's,62 - 69kg (lightweight),Images/Medal_Bronze.png,PRK,Bronze
NaN,Chun Hwa RYANG,2012 London,Weightlifting,Women's,- 48kg (flyweight),Images/Medal_Bronze.png,PRK,Bronze
NaN,Kyong Il YANG,2012 London,Wrestling Freestyle,Men's,- 55kg,Images/Medal_Bronze.png,PRK,Bronze
NaN,RI Se Gwang,2016 Rio de Janeiro,Gymnastics Artistic,Men's,vault,Images/Medal_Gold.png,PRK,Gold
NaN,RIM Jong Sim,2016 Rio de Janeiro,Weightlifting,Women's,69 - 75kg (heavyweight),Images/Medal_Gold.png,PRK,Gold
NaN,OM Yun Chol,2016 Rio de Janeiro,Weightlifting,Men's,- 56kg (bantamweight),Images/Medal_Silver.png,PRK,Silver
NaN,CHOE Hyo Sim,2016 Rio de Janeiro,Weightlifting,Women's,58 - 63kg (middleweight),Images/Medal_Silver.png,PRK,Silver
NaN,KIM Kuk Hyang,2016 Rio de Janeiro,Weightlifting,Women's,+ 75kg (super heavyweight),Images/Medal_Silver.png,PRK,Silver
NaN,KIM Song Guk,2016 Rio de Janeiro,Shooting,Men's,50m pistol,Images/Medal_Bronze.png,PRK,Bronze
NaN,KIM Song I,2016 Rio de Janeiro,Table Tennis,Women's,singles,Images/Medal_Bronze.png,PRK,Bronze
NaN,Soo-An HAN,1948 London,Boxing,Men's,- 51kg (flyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Sung-Jip KIM,1948 London,Weightlifting,Men's,67.5 - 75kg (middleweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Joon-Ho KANG,1952 Helsinki,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Sung-Jip KIM,1952 Helsinki,Weightlifting,Men's,67.5 - 75kg (middleweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Soon-Chun SONG,1956 Melbourne / Stockholm,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Silver.png,KOR,Silver
NaN,Chang-Hee KIM,1956 Melbourne / Stockholm,Weightlifting,Men's,60 - 67.5kg (lightweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Shin-Cho CHUNG,1964 Tokyo,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Silver.png,KOR,Silver
NaN,Chang-Sun CHANG,1964 Tokyo,Wrestling Freestyle,Men's,- 52kg (flyweight),Images/Medal_Silver.png,KOR,Silver
NaN,Eui-Tae KIM,1964 Tokyo,Judo,Men's,68 - 80kg (middleweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Yong-Ju JEE,1968 Mexico,Boxing,Men's,- 48kg (light-flyweight),Images/Medal_Silver.png,KOR,Silver
NaN,Kyou-Chull CHANG,1968 Mexico,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Seung-Lip OH,1972 Munich,Judo,Men's,70 - 80kg (middleweight),Images/Medal_Silver.png,KOR,Silver
NaN,Jung-Mo YANG,1976 Montreal,Wrestling Freestyle,Men's,57 - 62kg (featherweight),Images/Medal_Gold.png,KOR,Gold
NaN,Eun-Kyung CHANG,1976 Montreal,Judo,Men's,- 63kg (lightweight),Images/Medal_Silver.png,KOR,Silver
NaN,Young-Chul PARK,1976 Montreal,Judo,Men's,70 - 80kg (middleweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Je-Aki CHO,1976 Montreal,Judo,Men's,open category,Images/Medal_Bronze.png,KOR,Bronze
NaN,Kyung-Ja BYONSoo-nok LEESoo-nok JUNGJung-hye YUMi-Kum PARKKyung-Hwa YUMyung-Sun BAIKHee-Sook CHANGSoon-Bok LEEYoung-nae YUNKum-Ja MAHae-Chung JO,1976 Montreal,Volleyball,Women's,volleyball,Images/Medal_Bronze.png,KOR,Bronze
NaN,Hae-Sup JEON,1976 Montreal,Wrestling Freestyle,Men's,48 - 52kg (flyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Hyang-Soon SEO,1984 Los Angeles,Archery,Women's,individual FITA round,Images/Medal_Gold.png,KOR,Gold
NaN,Joon-Sup SHIN,1984 Los Angeles,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Gold.png,KOR,Gold
NaN,Byung-Keun AHN,1984 Los Angeles,Judo,Men's,65 - 71kg (lightweight),Images/Medal_Gold.png,KOR,Gold
NaN,Hyung-Zoo HA,1984 Los Angeles,Judo,Men's,86 - 95kg (half-heavyweight),Images/Medal_Gold.png,KOR,Gold
NaN,In-Tak YOU,1984 Los Angeles,Wrestling Freestyle,Men's,62 - 68kg (lightweight),Images/Medal_Gold.png,KOR,Gold
NaN,Weon-Kee KIM,1984 Los Angeles,Wrestling Greco-Roman,Men's,57 - 62kg (featherweight),Images/Medal_Gold.png,KOR,Gold
NaN,Yang-Gae PARKHyung-Sook LEEMyung-Hee JEONGKyung-Hee CHOIKyung-Ja MOONChan-Sook PARKEun-Sook KIMHwa-Soon KIMYoung-Hee KIMMi-Ja LEEJung-A SUNGAei-Young CHOI,1984 Los Angeles,Basketball,Women's,basketball,Images/Medal_Silver.png,KOR,Silver
NaN,Young-Su AN,1984 Los Angeles,Boxing,Men's,63.5 - 67kg (welterweight),Images/Medal_Silver.png,KOR,Silver
NaN,Soon-Bok JEONGYoung-Ja LEEOk-Hwa KIMSoo-Kyung YOONSoon-Ei LEEMi-Sook KIMByung-Soon YOONMi-Ha SONHwa-Soo HANKyung-Hwa SUNGKyung-Soon KIMHyoi-Soon JEONGChoon-Rye KIM,1984 Los Angeles,Handball,Women's,handball,Images/Medal_Silver.png,KOR,Silver
NaN,Jae-Yup KIM,1984 Los Angeles,Judo,Men's,- 60 kg,Images/Medal_Silver.png,KOR,Silver
NaN,Jun-Oh HWANG,1984 Los Angeles,Judo,Men's,60 - 65kg (half-lightweight),Images/Medal_Silver.png,KOR,Silver
NaN,Jong-Kyu KIM,1984 Los Angeles,Wrestling Freestyle,Men's,48 - 52kg (flyweight),Images/Medal_Silver.png,KOR,Silver
